arm	topology	merge	interval	pt_start	mono_start	pt_end	mono_end	scratch_kb
copy-per_family-i1	copy	per_family	1	2026-08-25 20:11:53 PDT	2097798.338286	2026-08-25 20:12:09 PDT	2097815.100691	507332
copy-per_family-i5	copy	per_family	5	2026-08-25 20:12:10 PDT	2097815.168916	2026-08-25 20:12:16 PDT	2097821.294649	507336
copy-per_family-i10	copy	per_family	10	2026-08-25 20:12:16 PDT	2097821.353133	2026-08-25 20:12:24 PDT	2097829.281726	507340
copy-merged-i1	copy	merged	1	2026-08-25 20:12:24 PDT	2097829.334155	2026-08-25 20:12:34 PDT	2097839.774409	507344
copy-merged-i5	copy	merged	5	2026-08-25 20:12:34 PDT	2097839.839381	2026-08-25 20:12:37 PDT	2097842.688914	507348
copy-merged-i10	copy	merged	10	2026-08-25 20:12:37 PDT	2097842.755434	2026-08-25 20:12:39 PDT	2097845.016792	507352
fresh-per_family-i1	fresh	per_family	1	2026-08-25 20:12:39 PDT	2097845.071689	2026-08-25 20:12:49 PDT	2097854.847133	1616
fresh-per_family-i5	fresh	per_family	5	2026-08-25 20:12:49 PDT	2097854.879758	2026-08-25 20:12:51 PDT	2097857.136681	1636
fresh-per_family-i10	fresh	per_family	10	2026-08-25 20:12:52 PDT	2097857.185641	2026-08-25 20:12:53 PDT	2097858.675998	1648
fresh-merged-i1	fresh	merged	1	2026-08-25 20:12:53 PDT	2097858.706799	2026-08-25 20:12:58 PDT	2097863.626912	1568
fresh-merged-i5	fresh	merged	5	2026-08-25 20:12:58 PDT	2097863.662927	2026-08-25 20:13:00 PDT	2097865.161170	1576
fresh-merged-i10	fresh	merged	10	2026-08-25 20:13:00 PDT	2097865.190836	2026-08-25 20:13:01 PDT	2097866.225974	1604
