arm	topology	merge	interval	pt_start	mono_start	pt_end	mono_end	scratch_kb
copy-per_family-i1	copy	per_family	1	2026-08-25 20:08:16 PDT	2097581.765282	2026-08-25 20:08:40 PDT	2097605.196750	508744
copy-per_family-i5	copy	per_family	5	2026-08-25 20:08:40 PDT	2097605.258777	2026-08-25 20:08:46 PDT	2097611.998578	508748
copy-per_family-i10	copy	per_family	10	2026-08-25 20:08:46 PDT	2097612.061116	2026-08-25 20:08:52 PDT	2097617.553867	508772
copy-merged-i1	copy	merged	1	2026-08-25 20:08:52 PDT	2097617.609754	2026-08-25 20:09:05 PDT	2097630.710017	508676
copy-merged-i5	copy	merged	5	2026-08-25 20:09:05 PDT	2097630.783443	2026-08-25 20:09:09 PDT	2097634.467308	508680
copy-merged-i10	copy	merged	10	2026-08-25 20:09:09 PDT	2097634.522871	2026-08-25 20:09:12 PDT	2097637.251372	508716
fresh-per_family-i1	fresh	per_family	1	2026-08-25 20:09:12 PDT	2097637.313525	2026-08-25 20:09:22 PDT	2097647.296799	1596
fresh-per_family-i5	fresh	per_family	5	2026-08-25 20:09:22 PDT	2097647.332720	2026-08-25 20:09:25 PDT	2097650.154979	1604
fresh-per_family-i10	fresh	per_family	10	2026-08-25 20:09:25 PDT	2097650.195671	2026-08-25 20:09:26 PDT	2097651.967980	1624
fresh-merged-i1	fresh	merged	1	2026-08-25 20:09:26 PDT	2097652.000471	2026-08-25 20:09:32 PDT	2097657.617643	1544
fresh-merged-i5	fresh	merged	5	2026-08-25 20:09:32 PDT	2097657.650263	2026-08-25 20:09:34 PDT	2097659.251631	1552
fresh-merged-i10	fresh	merged	10	2026-08-25 20:09:34 PDT	2097659.291406	2026-08-25 20:09:35 PDT	2097660.341910	1580
